Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
53,KSC,,"3,600 kg",GTO,"Iridium Communications
GFZ • NASA",Success,F9 B4,No attempt,18 April 2018,22:51
54,VAFB,,"6,460 kg",Polar,SES,Success,F9 B5B1046.1,No attempt,11 May 2018,20:14
55,CCAFS,,"5,384 kg",GTO,NASA (CRS),Success,F9 B4B1043.2,No attempt,22 May 2018,19:47
56,CCAFS,,"2,697 kg",LEO,Telesat,Success,F9 B4B1040.2,Success,4 June 2018,04:45
57,CCAFS,,"7,075 kg",GTO,Iridium Communications,Success,F9 B4B1045.2,Success,29 June 2018,09:42
58,VAFB,,"9,600 kg",Polar,Telkom Indonesia,Success,F9 B5,Success,22 July 2018,05:50
59,CCAFS,,"5,800 kg",GTO,Telesat,Success,F9 B5B1048,Success,25 July 2018,11:39
60,CCAFS,,"7,060 kg",GTO,CONAE,Success,F9 B5B1046.2,Success,7 August 2018,05:18
61,VAFB,,"3,000 kg",SSO,Es'hailSat,Success,F9 B5,Success,10 September 2018,04:45
62,KSC,,"5,300 kg",GTO,Spaceflight Industries,Success,F9 B5B1048.2,Success,8 October 2018,02:22
63,VAFB,,"~4,000 kg",SSO,NASA (CRS),"Success
",F9 B5B1047.2,Failure,15 November 2018,20:46
64,CCAFS,,"2,500 kg",LEO,USAF,Success,F9 B5B1046.3,No attempt,3 December 2018,18:34:05
65,CCAFS,,"4,400 kg",MEO,Iridium Communications,"Success
",F9 B5,Success,5 December 2018,18:16
66,VAFB,,"9,600 kg",Polar,"PSN
SpaceIL / IAI
Air Force Research","Success
",F9 B5,Success,23 December 2018,13:51
67,CCAFS,,"4,850 kg",GTO,NASA (CCD),"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,KSC,,"12,055 kg",LEO,NASA (CRS),"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,CCAFS,,"2,495 kg",LEO,SpaceX,"Success
",F9 B5[268],Success,2 March 2019,07:49
70,CCAFS,,"13,620 kg",LEO,Canadian Space Agency (CSA),"Success
",F9 B5,Success,4 May 2019,06:48
71,VAFB,,"4,200 kg",SSO,NASA (CRS),"Success
",F9 B5B1049.3,Success,24 May 2019,02:30
72,CCAFS,,"2,268 kg",LEO,Spacecom,"Success
",F9 B5B1051.2,No attempt,12 June 2019,14:17
73,CCAFS,,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
74,CCAFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,,"2,617 kg",LEO,Sky Perfect JSATKacific 1,"Success
",F9 B5,Success,11 November 2019,14:56
76,CCAFS,,"6,956 kg",GTO,SpaceX,"Success
",F9 B5,Success,5 December 2019,17:29
77,CCAFS,,"15,600 kg",LEO,NASA (CTS)[497],"Success
",F9 B5B1056.3,"No attempt
",17 December 2019,00:10
78,KSC,,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,Success,7 January 2020,02:19:21
79,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,19 January 2020,15:30
80,CCAFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5,Success,29 January 2020,14:07
81,CCAFS,,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,Failure,17 February 2020,15:05
82,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
83,KSC,,"15,600 kg",LEO,NASA (CCDev),"Success
",F9 B5,Success,18 March 2020,12:16
84,KSC,,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
85,CCAFS,,"15,600 kg",LEO,SpaceXPlanet Labs,"Success
",F9 B5,Success,30 May 2020,19:22
86,CCAFS,,"15,410 kg",LEO,U.S. Space Force[530],"Success
",F9 B5,Success,4 June 2020,01:25
87,CCAFS,,"4,311 kg",MEO,Republic of Korea Army,"Success
",F9 B5,Success,13 June 2020,09:21
88,CCAFS,,"5,000–6,000 kg",GTO,SpaceXSpaceflight Industries (BlackSky),"Success
",F9 B5,Success,30 June 2020,20:10:46
89,KSC,,"14,932 kg",LEO,SpaceXPlanet Labs,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,CCAFS,,"~15,440 kg",LEO,CONAEPlanetIQTyvak,"Success
",F9 B5,Success,7 August 2020,05:12
91,CCAFS,,"3,130 kg",SSO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
93,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,CCAFS,,"15,600 kg",LEO,USSF,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,CCAFS,,"4,311 kg",MEO,NASA (CCP)[497],"Success
",F9 B5,Success,24 October 2020,15:31:34
97,KSC,,"~12,500 kg",LEO,NASA / NOAA / ESA / EUMETSAT,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,VAFB,,"1,192 kg",LEO,SpaceX,"Success
",F9 B5,Success,16 November 2020,00:27
99,CCAFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5,Success,21 November 2020,17:17:08
100,KSC,,"2,972 kg",LEO,Sirius XM,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,CCSFS,,"7,000 kg",GTO,NRO,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,KSC,,C,LEO,Türksat,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,CCSFS,,"3,500 kg",GTO,SpaceX,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,KSC,,"15,600 kg",LEO,Various,"Success
",F9 B5,Success,8 January 2021,02:15
105,CCSFS,,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1051.8,Success,20 January 2021,13:02
106,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.5,Failure,24 January 2021,15:00
107,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 February 2021,06:19
108,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,16 February 2021,03:59:37
109,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 March 2021,08:24
110,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,11 March 2021,08:13:29
111,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,CCSFS,,"15,600 kg",LEO,NASA (CTS)[497],"Success
",F9 B5B1060.6,Success,24 March 2021,08:28
113,KSC,,"~13,000 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,CCSFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1061.2,Success,23 April 2021,9:49
115,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7,Success,29 April 2021,03:44
116,CCSFS,,"15,600 kg",LEO,SpaceX Capella Space and Tyvak,"Success
",F9 B5B1049.9,Success,4 May 2021,19:01
117,KSC,,"~14,000 kg",LEO,SpaceX,"Success
",F9 B5B1051.10,Success,9 May 2021,06:42
118,CCSFS,,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5B1058.8,Success,15 May 2021,22:56
119,KSC,,"3,328 kg",LEO,Sirius XM,"Success
",F9 B5B1063.2,Success,26 May 2021,18:59
120,CCSFS,,"7,000 kg",GTO,,,F9 B5B1067.1,,3 June 2021,17:29
121,,,,,,,F9 B5,,6 June 2021,04:26
